71,WINNE,위니,WINNE,WINNE,WINNE
72,由暉,유키,YUKI,YUKI,YUKI
73,豊,유타카,YUTAKA,YUTAKA,YUTAKA
74,佑都,유토,YUTO,YUTO,YUTO
75,樹,이츠키,ITSUKI,ITSUKI,ITSUKI
76,一翔,이치카,ICHIKA,ICHIKA,ICHIKA
77,ZHANG SHUAI BO,장슈아이보,ZHANG SHUAI BO,张帅博,ZHANG SHUAI BO
78,ZHANG HAO,장하오,ZHANG HAO,章昊,ZHANG HAO
79,JAY,제이,JAY,JAY,JAY
80,CAI JIN XIN,차이진신,CAI JIN XIN,蔡锦昕,CAI JIN XIN
81,CHEN KUAN JUI,천관루이,CHEN KUAN JUI,CHEN KUAN JUI,陳冠叡
82,CHEN REN YOU,천런유,CHEN REN YOU,CHEN REN YOU,陳任佑
83,CHEN LIANG,천리앙,CHEN LIANG,陈梁,CHEN LIANG
84,CHEN YU GENG,천위겅,CHEN YU GENG,陈誉庚,CHEN YU GENG
85,CHEN JIAN YU,천지안위,CHEN JIAN YU,陈建宇,CHEN JIAN YU
86,QIU SHENG YANG,치우성양,QIU SHENG YANG,QIU SHENG YANG,邱勝揚
87,敬,케이,KEI,KEI,KEI
88,佳汰,케이타,KEITA,KEITA,KEITA
89,CONG,콩,CONG,CONG,CONG
90,KRYSTIAN,크리스티안,KRYSTIAN,王南钧,KRYSTIAN
91,拓斗,타쿠토,TAKUTO,TAKUTO,TAKUTO
92,透唯,토우이,TOUI,TOUI,TOUI
93,FENG JUN LAN,펑쥔란,FENG JUN LAN,冯俊岚,FENG JUN LAN
94,暖琉,하루,HARU,HARU,HARU
95,春と,하루토,HARUTO,HARUTO,HARUTO
96,飛燿,효,HYO,HYO,HYO
97,大翔,히로토,HIROTO,HIROTO,HIROTO
98,YEOM TAE GYUN,염태균,YEOM TAE GYUN,YEOM TAE GYUN,廉太均
99,ドウォン,타오위안,TAO YUAN,陶源,TAO YUAN
100,JO EUN WOO,조은우,JO EUN WOO,JO EUN WOO,趙誾禹
